,symbol,smu,ssig2,sepsilon,somega,salpha
1,AAL.L,25372.13279,129061860.2,10839.41696,18446.18361,0.987416074
2,ABF.L,24931.8998,122937492.6,10525.27517,18179.33788,0.993216939
3,ADM.L,24860.46248,122964957.3,10865.01146,17856.02438,0.98234054
4,AHT.L,25174.97688,129952378.7,10782.5725,18360.11118,0.982467029
5,ANTO.L,24885.40319,124773039.1,10479.523,18229.16409,0.990450973
6,AV.L,25052.81966,127594908.4,10549.28677,18383.34504,0.9888017
7,AZN.L,24888.05038,122882823.4,10909.43461,17840.53032,0.982010985
8,BA.L,25060.25768,123370349.9,10889.86944,18004.72862,0.986404643
9,BAB.L,25018.31323,123294072.8,10738.01003,18089.2546,0.989410911
10,BARC.L,25180.68381,126418397.6,10803.73522,18251.43962,0.987255432
11,BATS.L,25010.23766,124717703.4,10621.14694,18214.3799,0.990099631
12,BDEV.L,25009.1476,123141375.2,11312.15692,17628.07218,0.973823563
13,BLND.L,25174.48028,125085697.4,11171.31985,17921.33364,0.979299827
14,BLT.L,24938.38517,124609844.1,10838.74967,17983.59156,0.98263311
15,BNZL.L,25006.08874,126984950.3,10751.7134,18170.64024,0.98319101
16,BP.L,24994.0104,126042122.8,10623.0585,18236.40264,0.987657354
17,BRBY.L,25036.45763,121215147.5,11496.61844,17451.14302,0.972410337
18,BT.A.L,25208.36484,127516849.5,10418.69342,18607.82712,0.996145555
19,CCH.L,24920.98421,123876480.6,10732.87115,18032.72117,0.986105342
20,CCL.L,25060.59907,121815511.1,11368.9707,17586.25026,0.975757261
21,CNA.L,25038.85249,125489074.3,10741.20896,18163.47117,0.986564661
22,CPG.L,24965.90738,126612628.8,10491.21452,18333.83108,0.989500618
23,CPI.L,25132.39286,123906953.8,11417.30804,17663.81911,0.973136647
24,CRDA.L,25026.71166,122170197.9,10971.20336,17880.92591,0.985182051
25,CRH.L,25095.76149,126595313.1,10870.03868,18137.43374,0.983011145
26,CTEC.L,24908.82104,125495840.2,10328.04601,18387.35546,0.993850993
27,DC.L,25137.12113,125885556.1,10970.25714,18071.67927,0.982505868
28,DCC.L,24751.48817,119395488.1,11361.05376,17282.91705,0.971040982
29,DGE.L,25100.0954,126655423.4,10758.7629,18229.89965,0.985973325
30,DLG.L,24868.43487,121687077.9,10724.71183,17936.88879,0.988272172
31,EXPN.L,24884.47958,125222394.9,10199.0613,18463.0416,0.996880294
32,EZJ.L,24936.47494,124719945.2,10476.3308,18270.62434,0.991925768
33,FRES.L,24706.99934,120779148,10682.81385,17817.32097,0.986495667
34,GKN.L,25033.14846,120082449.9,11432.80161,17465.73458,0.975939884
35,GLEN.L,25067.25171,127366405.5,10564.67978,18376.37065,0.98911144
